id,name,code,account_type,chart_template_id:id,reconcile
account_py_70103_income,INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE BIENES DE LA ACTIVIDAD FORESTAL,7.01.03,income_other,py_chart_template,False
account_py_70201_expense,COSTO DE PRODUCCIÓN Y/O TENENCIA DE BIENES DEL SECTOR AGRÍCOLA,7.02.01,expense,py_chart_template,False
account_py_70202_expense,COSTO DE PRODUCCIÓN Y/O TENENCIA DE GANADO,7.02.02,expense,py_chart_template,False
account_py_70203_expense,COSTO DE PRODUCCIÓN Y/O TENENCIA DE BIENES DE LA ACTIVIDAD FORESTAL,7.02.03,expense,py_chart_template,False
account_py_70204_expense,MERMAS Y MORTANDAD,7.02.04,expense,py_chart_template,False
account_py_801_income,INTERESES GANADOS,8.01,income_other,py_chart_template,False
account_py_802_income,COMISIONES COBRADAS,8.02,income_other,py_chart_template,False
account_py_803_income,DESCUENTOS OBTENIDOS,8.03,income_other,py_chart_template,False
account_py_804_income,SUBVENCIONES,8.04,income_other,py_chart_template,False
account_py_805_income,RESULTADO POR DIFERENCIA DE CAMBIO,8.05,income_other,py_chart_template,False
account_py_100101_expense,SUELDOS Y JORNALES,10.01.01,expense,py_chart_template,False
account_py_100102_expense,APORTE PATRONAL,10.01.02,expense,py_chart_template,False
account_py_100103_expense,OTROS BENEFICIOS AL PERSONAL,10.01.03,expense,py_chart_template,False
account_py_1002_expense,COMISIONES PAGADAS SOBRE VENTAS,10.02,expense,py_chart_template,False
account_py_1003_expense,VIÁTICOS A VENDEDORES,10.03,expense,py_chart_template,False
account_py_1004_expense,PUBLICIDAD Y PROPAGANDA,10.04,expense,py_chart_template,False
account_py_1005_expense,FLETES PAGADOS,10.05,expense,py_chart_template,False
account_py_1099_expense,OTROS GASTOS DE VENTAS,10.99,expense,py_chart_template,False
account_py_110101_expense,SUELDOS Y JORNALES ADM,11.01.01,expense,py_chart_template,False
account_py_110102_expense,APORTE PATRONAL ADM,11.01.02,expense,py_chart_template,False
account_py_110103_expense,OTROS BENEFICIOS AL PERSONAL ADM,11.01.03,expense,py_chart_template,False
account_py_1102_expense,REMUNERACIÓN PERSONAL SUPERIOR,11.02,expense,py_chart_template,False
account_py_1103_expense,GASTOS DE REPRESENTACIÓN,11.03,expense,py_chart_template,False
account_py_1104_expense,HONORARIOS PROFESIONALES,11.04,expense,py_chart_template,False
account_py_1105_expense,ALQUILERES,11.05,expense,py_chart_template,False
account_py_1106_expense,"AGUA, LUZ, TELÉFONO E INTERNET",11.06,expense,py_chart_template,False
account_py_1107_expense,MOVILIDAD,11.07,expense,py_chart_template,False
account_py_1108_expense,COMBUSTIBLES Y LUBRICANTES,11.08,expense,py_chart_template,False
account_py_1109_expense,REPARACIONES Y MANTENIMIENTOS,11.09,expense,py_chart_template,False
account_py_1110_expense,SEGUROS PAGADOS,11.10,expense,py_chart_template,False
account_py_1111_expense,ÚTILES DE OFICINA,11.11,expense,py_chart_template,False
account_py_1112_expense,GASTOS PAGADOS EN EL EXTERIOR,11.12,expense,py_chart_template,False
account_py_1113_expense,JUICIOS Y GASTOS JUDICIALES,11.13,expense,py_chart_template,False
account_py_1114_expense,GASTOS DE COBRANZAS,11.14,expense,py_chart_template,False
account_py_1115_expense,DONACIONES Y CONTRIBUCIONES,11.15,expense,py_chart_template,False
account_py_1116_expense,COMISIONES Y GASTOS BANCARIOS OPERACIONALES,11.16,expense,py_chart_template,False
account_py_1117_expense,"IMPUESTOS, PATENTES, TASAS Y OTRAS CONTRIBUCIONES",11.17,expense,py_chart_template,False
account_py_1118_expense,MULTAS Y SANCIONES,11.18,expense,py_chart_template,False
account_py_1301_expense,INTERESES PAGADOS A ENTIDADES BANCARIAS Y FINANCIERAS,13.01,expense,py_chart_template,False
account_py_1302_expense,OTROS INTERESES PAGADOS,13.02,expense,py_chart_template,False
account_py_1303_expense,COMISIONES Y GASTOS BANCARIOS SOBRE OPERACIONES CREDITICIAS,13.03,expense,py_chart_template,False
account_py_1304_expense,RESULTADO POR DIFERENCIA DE CAMBIO,13.04,expense,py_chart_template,False
account_py_1401_expense,DESAFECTACIÓN DE PREVISIONES,14.01,expense,py_chart_template,False
account_py_1402_expense,CONSTITUCIÓN DE PREVISIONES,14.02,expense,py_chart_template,False
account_py_1501_expense,DEPRECIACIONES DEL EJERCICIO,15.01,expense_depreciation,py_chart_template,False
account_py_1502_expense,AMORTIZACIONES DEL EJERCICIO,15.02,expense_depreciation,py_chart_template,False
account_py_1701_income,UTILIDAD/PÉRDIDA EN VENTA DE ACTIVOS FIJOS,17.01,income_other,py_chart_template,False
account_py_1702_income,UTILIDAD/PÉRDIDA EN VENTA DE INVERSIONES,17.02,income_other,py_chart_template,False
account_py_1703_income,CUENTAS INCOBRABLES RECUPERADAS,17.03,income_other,py_chart_template,False
account_py_1900,IMPUESTO A LA RENTA,19,expense,py_chart_template,False
